trial_no,mse,r2,epochs,batch_size,lr,weight_decay,conv_channels,kernel_size,fc_units,num_blocks
25,0.31834495067596436,0.2991953492164612,16,53,0.005842516029707671,4.58638358251678e-07,118,5,144,4
26,0.3118235468864441,0.31355154514312744,18,69,0.02086101228898289,2.8118258648277065e-07,134,5,96,4
27,0.31892186403274536,0.29792529344558716,14,40,0.0010868466854245674,5.34229750348966e-06,73,5,154,4
28,0.33068710565567017,0.27202528715133667,23,51,0.031178127411488284,6.125006072901363e-07,85,5,191,4
29,0.339417964220047,0.2528051733970642,22,61,6.0182017500472365e-05,1.8203424159462635e-06,226,5,78,4
30,0.30476459860801697,0.3290911316871643,18,124,0.004000152054037289,3.418289812958319e-05,183,5,84,4
31,0.31015974283218384,0.3172142505645752,16,104,0.005353034585219212,4.084965573422481e-05,182,5,80,4
32,0.2985706925392151,0.3427264094352722,19,126,0.007013200521442628,2.6716338875989925e-05,184,5,91,4
33,0.3297473192214966,0.2740941643714905,17,111,0.007899588059526853,8.598662122581746e-06,221,5,92,4
34,0.3113632798194885,0.3145647644996643,19,80,0.022195037929443027,1.9756184871633802e-07,191,5,104,3
35,0.3225380480289459,0.28996461629867554,61,86,0.0961308971492723,1.4538740288996482e-05,170,5,120,4
36,0.3187612295150757,0.29827892780303955,19,128,0.0018335708427519712,3.264149113553587e-06,253,5,73,4
37,0.31496313214302063,0.30664002895355225,19,42,0.03400413172108704,6.754376734997978e-05,114,5,235,3
38,0.332821786403656,0.2673260569572449,17,67,0.014608209737736978,0.0006822896825891193,142,5,209,4
39,0.3259011209011078,0.28256118297576904,15,59,0.003144595564926973,1.1898080180979592e-06,204,5,72,3
40,0.3019232153892517,0.33534616231918335,18,37,0.04931783096545465,4.377350616609173e-07,159,5,85,4
41,0.3203692138195038,0.29473912715911865,21,37,0.048265186967778415,4.345742772209407e-07,159,5,99,4
42,0.31983670592308044,0.29591137170791626,25,35,0.06435567002070465,6.623916547268317e-07,139,5,86,4
43,0.32574281096458435,0.28290969133377075,19,43,0.014227863055103297,2.3388784102208765e-06,174,5,77,4
44,0.3113940358161926,0.31449705362319946,13,49,0.0013716395135583864,1.5760048642557685e-07,126,5,115,4
45,0.3029981553554535,0.3329797387123108,14,32,0.0007782846076072072,3.8200763195438146e-07,150,5,68,4
46,0.31902092695236206,0.297707200050354,17,36,0.0020578534584118086,2.076412046431432e-07,153,5,64,4
47,0.3125309944152832,0.31199413537979126,14,32,0.0008581040740638246,3.662649795500892e-07,95,5,70,4
48,0.3376052975654602,0.25679564476013184,17,33,0.0030297183734792205,1.0742892486527033e-06,185,5,87,4
49,0.31508204340934753,0.3063783049583435,16,39,0.007893820711361233,5.832472528843848e-07,209,5,69,3
50,0.31458374857902527,0.3074752688407898,13,41,0.0007792730751813457,0.0001140633012504887,159,5,81,4
51,0.3097957372665405,0.31801557540893555,14,35,0.00034700366401316555,3.2468898250197575e-07,146,5,99,4
52,0.3207191526889801,0.2939687967300415,13,55,0.0002797357974203115,8.313658087130267e-07,124,5,130,4
53,0.3326264023780823,0.2677561044692993,37,72,0.00010711166627412963,1.5562797599334556e-07,177,5,74,4
54,0.3095477223396301,0.3185615539550781,15,46,0.0015072876998198552,1.4552516243674636e-06,136,5,95,2
55,0.32991743087768555,0.2737196683883667,16,34,0.00014685534335204457,4.4689684652475904e-06,109,5,67,4
56,0.34009262919425964,0.2513200044631958,15,64,7.412341175230171e-05,2.1347960567690938e-05,164,5,89,4
57,0.3221043050289154,0.2909194827079773,15,38,0.006392525822736351,5.047816147288123e-07,150,5,104,4
58,0.36133474111557007,0.2045575976371765,16,76,3.002282032751496e-05,1.9725066551621684e-07,194,5,77,4
59,0.31091076135635376,0.3155609369277954,15,45,0.011438245388689098,0.00024349401941564417,77,5,83,2
60,0.38475167751312256,0.15300750732421875,26,83,1.0145249122861914e-05,8.443419532938097e-07,98,5,93,4
61,0.3147718012332916,0.30706125497817993,16,122,0.002507470145587816,3.9535847858248175e-05,183,5,85,4
62,0.32158416509628296,0.29206448793411255,16,113,0.003826346671530395,2.8191489507693306e-05,209,5,147,4
63,0.30730658769607544,0.32349520921707153,15,105,0.0051947867297949145,1.1070107290005499e-05,160,5,76,4
64,0.3296756446361542,0.27425187826156616,15,100,0.004396041721835908,4.2845980774185926e-05,170,5,181,4
65,0.337767094373703,0.2564394474029541,22,121,0.032060178894099775,7.866289828698099e-05,149,5,81,4
66,0.31873244047164917,0.2983422875404358,15,49,0.008564327196741028,2.776188285824664e-05,142,5,67,4
67,0.31603094935417175,0.30428940057754517,13,32,0.0005526130585135453,0.0001499281275423728,131,5,100,4
68,0.32778483629226685,0.2784143090248108,25,128,0.015383954183438546,3.9719982131752965e-07,67,5,90,4
69,0.32627052068710327,0.2817479968070984,31,108,0.044211707521355725,2.5893498074814504e-07,86,5,124,4
70,0.45444414019584656,-0.00041353702545166016,17,120,0.07280568499882432,2.2488533808718002e-06,200,5,165,4
71,0.3316453695297241,0.2699158191680908,14,57,0.00017455316757801552,1.046501483095868e-07,64,5,117,3
72,0.3254544138908386,0.28354454040527344,12,93,0.0009443962792758779,7.26808839543812e-06,74,5,110,4
73,0.3162171244621277,0.3038794994354248,14,92,0.0003190860217532482,1.4376398343001137e-07,80,5,113,3
