gene_id,gene_name
ENSDARG00000032653,sinhcaf
ENSDARG00000025948,mlh1
ENSDARG00000034181,esr2b
ENSDARG00000039412,dmrta2
ENSDARG00000005842,cd9a
ENSDARG00000055655,birc5b
ENSDARG00000103754,aspm
ENSDARG00000071450,tdrd5
ENSDARG00000103690,vipas39
ENSDARG00000013079,tubgcp2
ENSDARG00000007465,tdrd1
ENSDARG00000016691,cd9b
ENSDARG00000090768,zgc:173556
ENSDARG00000007863,tra2a
ENSDARG00000021432,cimap1d
ENSDARG00000033726,tshba
ENSDARG00000018742,psme4b
ENSDARG00000051902,prmt7
ENSDARG00000089291,cenpx
ENSDARG00000009653,lhfpl2a
ENSDARG00000037892,psmc3ip
ENSDARG00000026595,pafah1b1b
ENSDARG00000090237,zp2.3
ENSDARG00000040081,zp3d.1
ENSDARG00000035607,ankle2
ENSDARG00000086522,zp2.5
ENSDARG00000035290,dmrt3a
ENSDARG00000041699,piwil1
ENSDARG00000056214,gnrh3
ENSDARG00000068255,nanos3
ENSDARG00000079578,rbpms2b
ENSDARG00000092889,zgc:194246
ENSDARG00000089139,iftap
ENSDARG00000099042,cfap157
ENSDARG00000020948,gmcl1
ENSDARG00000045160,msrb1b
ENSDARG00000000943,dzip1
ENSDARG00000055883,dmc1
ENSDARG00000038116,gnrhr4
ENSDARG00000020573,ddx3xa
ENSDARG00000013837,spo11
ENSDARG00000061414,slx4
ENSDARG00000089966,si:zfos-1505d6.3
ENSDARG00000075203,zgc:195212
ENSDARG00000018006,vrk1
ENSDARG00000103907,sgo1
ENSDARG00000075421,pttg1
ENSDARG00000074131,kif5ba
ENSDARG00000043480,rbbp8
ENSDARG00000035697,spinb
ENSDARG00000012030,dnaaf1
ENSDARG00000032808,tdrd7a
ENSDARG00000059951,pld6
ENSDARG00000039828,zp3b
ENSDARG00000070961,lepr
ENSDARG00000043587,srd5a2a
ENSDARG00000076501,asxl2
ENSDARG00000044754,gnrh2
ENSDARG00000036869,tcf21
ENSDARG00000041361,ttk
ENSDARG00000070178,zp3d.2
ENSDARG00000092134,rad54b
ENSDARG00000041107,cftr
ENSDARG00000052846,fsta
ENSDARG00000103187,syce2
