Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16
gadd45gb.1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ppm1e,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tfpt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tmem120b,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tnfrsf1a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dcaf13,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ndufs8b,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isg20l2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pxdn,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cdk2ap1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
cmtr1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
parp6b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wnt10a,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wwox,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glis1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kxd1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
scarb2c,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
enc3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
snx33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
foxl2l,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
csnk2a2b,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
nyap2b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slc30a4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-207c6.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
optn,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
camk1db,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fam169aa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
zmp:0000001316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neurod1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gabra1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lin9,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
zgc:171727,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
grpel1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
