,Gene name,Gene stable ID
460,si:ch73-281i18.7,ENSDARG00000103395
461,ARHGEF38,ENSDARG00000079377
462,NCOA5,ENSDARG00000016345
463,hunk,ENSDARG00000091317
464,hspa12a.2,ENSDARG00000096726
465,trim35-20,ENSDARG00000070847
466,,ENSDARG00000096678
467,arhgdig,ENSDARG00000004034
468,TNNI1,ENSDARG00000000474
469,CNOT6L,ENSDARG00000054597
470,si:ch73-4e5.1,ENSDARG00000097891
471,DDR2,ENSDARG00000058695
472,abhd5a,ENSDARG00000099189
473,spint1b,ENSDARG00000012467
474,cd4-2.2,ENSDARG00000073950
475,sftpbb,ENSDARG00000067566
476,tbl1xr1a,ENSDARG00000058696
477,KCNK6,ENSDARG00000007383
478,si:ch1073-404f17.2,ENSDARG00000095291
479,PSD2,ENSDARG00000063036
480,PROC,ENSDARG00000093079
481,SMARCD1,ENSDARG00000019004
482,si:dkeyp-72g9.4,ENSDARG00000073704
483,NTS,ENSDARG00000057887
484,PI15,ENSDARG00000045378
485,si:dkey-13m3.1,ENSDARG00000099469
486,PTBP3,ENSDARG00000043757
487,linc.5888,ENSDARG00000097342
488,prkag3a,ENSDARG00000017537
489,pimr134,ENSDARG00000094146
490,ITGB5,ENSDARG00000012942
491,CYP1B1,ENSDARG00000068934
492,si:dkey-23n7.10,ENSDARG00000104129
493,sgca,ENSDARG00000074156
494,si:ch73-109d9.1,ENSDARG00000052019
495,traj1,ENSDARG00000101668
496,terb1,ENSDARG00000058587
497,rgs5b,ENSDARG00000017860
498,znfl1b,ENSDARG00000075996
499,KCTD8,ENSDARG00000067507
500,TTPAL,ENSDARG00000070644
501,aldh16a1,ENSDARG00000037935
502,si:dkey-166k12.6,ENSDARG00000103815
503,si:ch211-126g16.8,ENSDARG00000093180
504,BDKRB2,ENSDARG00000043664
505,RTCB,ENSDARG00000101047
506,PTPRF,ENSDARG00000005754
507,si:ch211-147g21.5,ENSDARG00000103165
508,fam78aa,ENSDARG00000101217
509,STOML1,ENSDARG00000062142
510,rubcnl,ENSDARG00000088402
511,il15,ENSDARG00000052361
512,NMNAT2,ENSDARG00000004580
513,si:dkey-22i16.10,ENSDARG00000078558
514,F2R,ENSDARG00000087469
515,KPNA2,ENSDARG00000038066
516,prkag2b,ENSDARG00000001933
