Gene	Pred	Actual
b'ENSDARG00000009020'	b'0.059419647'	b'-1.007270917425262'
b'ENSDARG00000009021'	b'0.059419647'	b'1.3016853824185937'
b'ENSDARG00000009133'	b'0.059419647'	b'0.5355011481761311'
b'ENSDARG00000009169'	b'0.059419647'	b'1.2569142736391157'
b'ENSDARG00000009209'	b'0.059419647'	b'0.4044673679643141'
b'ENSDARG00000009215'	b'0.059419647'	b'-0.2434444332850701'
b'ENSDARG00000009253'	b'0.059419647'	b'1.087304985446762'
b'ENSDARG00000009281'	b'0.059419647'	b'-0.7619396183266063'
b'ENSDARG00000009727'	b'0.059419647'	b'-0.6483476719639941'
b'ENSDARG00000009738'	b'0.059419647'	b'-0.9602391046738316'
b'ENSDARG00000009782'	b'0.059419647'	b'-0.956540415743762'
b'ENSDARG00000009851'	b'0.059419647'	b'0.0580079696190524'
b'ENSDARG00000009930'	b'0.059419647'	b'-1.0298326791184962'
b'ENSDARG00000009949'	b'0.059419647'	b'-0.9769697690959028'
b'ENSDARG00000009978'	b'0.059419647'	b'3.1774239586873776'
b'ENSDARG00000010031'	b'0.059419647'	b'0.2806491397133981'
b'ENSDARG00000010042'	b'0.059419647'	b'-0.6674535588580612'
b'ENSDARG00000010318'	b'0.059419647'	b'0.3913220449928883'
b'ENSDARG00000010425'	b'0.059419647'	b'-0.5626302110090464'
b'ENSDARG00000010432'	b'0.059419647'	b'1.6394643490359655'
b'ENSDARG00000010717'	b'0.059419647'	b'1.5032211860606255'
b'ENSDARG00000010782'	b'0.059419647'	b'-1.0607437956263048'
b'ENSDARG00000010844'	b'0.059419647'	b'0.4548159353212509'
b'ENSDARG00000010873'	b'0.059419647'	b'2.0700586310802485'
b'ENSDARG00000010905'	b'0.059419647'	b'0.4674190660938783'
b'ENSDARG00000010918'	b'0.059419647'	b'-0.0562949931532977'
b'ENSDARG00000010936'	b'0.059419647'	b'-1.0069814641959192'
b'ENSDARG00000011083'	b'0.059419647'	b'-0.9997953184131624'
b'ENSDARG00000011146'	b'0.059419647'	b'1.9267004655031807'
b'ENSDARG00000011188'	b'0.059419647'	b'0.2088763884501362'
b'ENSDARG00000011201'	b'0.059419647'	b'3.213401798393598'
b'ENSDARG00000011360'	b'0.059419647'	b'0.6907118133926297'
b'ENSDARG00000011422'	b'0.059419647'	b'0.153299941156934'
b'ENSDARG00000011579'	b'0.059419647'	b'1.4667904139982817'
b'ENSDARG00000011886'	b'0.059419647'	b'-0.8743286690695237'
b'ENSDARG00000011897'	b'0.059419647'	b'0.2781617272365652'
b'ENSDARG00000011956'	b'0.059419647'	b'0.0948107601360833'
b'ENSDARG00000011989'	b'0.059419647'	b'-0.2779200850975639'
b'ENSDARG00000012013'	b'0.059419647'	b'0.0902678700120836'
b'ENSDARG00000012019'	b'0.059419647'	b'-0.9513872434013072'
b'ENSDARG00000012039'	b'0.059419647'	b'0.2367570491164713'
b'ENSDARG00000012060'	b'0.059419647'	b'0.2316342167875261'
b'ENSDARG00000012140'	b'0.059419647'	b'1.698908127863217'
b'ENSDARG00000012234'	b'0.059419647'	b'2.007179531869482'
b'ENSDARG00000012248'	b'0.059419647'	b'1.817337638153265'
b'ENSDARG00000012314'	b'0.059419647'	b'0.3318962412951336'
b'ENSDARG00000012366'	b'0.059419647'	b'-0.4684315462877131'
b'ENSDARG00000012369'	b'0.059419647'	b'1.2891075002238797'
b'ENSDARG00000012432'	b'0.059419647'	b'1.6903003139804451'
b'ENSDARG00000012495'	b'0.059419647'	b'1.854964636851913'
b'ENSDARG00000012505'	b'0.059419647'	b'1.9588002029882856'
b'ENSDARG00000012563'	b'0.059419647'	b'-0.407275274220837'
b'ENSDARG00000012684'	b'0.059419647'	b'0.893414223934661'
b'ENSDARG00000012745'	b'0.059419647'	b'-0.0908999463542845'
b'ENSDARG00000012829'	b'0.059419647'	b'-0.904400460285758'
b'ENSDARG00000012887'	b'0.059419647'	b'0.4049597309276279'
b'ENSDARG00000012949'	b'0.059419647'	b'0.717280838665196'
b'ENSDARG00000013016'	b'0.059419647'	b'0.7913751357894597'
b'ENSDARG00000013078'	b'0.059419647'	b'2.849264307938856'
b'ENSDARG00000013266'	b'0.059419647'	b'-0.3701969863836166'
b'ENSDARG00000013293'	b'0.059419647'	b'-0.5966229048962968'
