Gene ID,Median RPKM,Mean RPKM,Sample variance RPKM,Difference RPKM,Median log RPKM,Mean log RPKM,Sample variance log RPKM,Difference log RPKM
ENSDARG00000008953,0.4135376718532381,0.6921829408059526,0.5820242238694371,3.8479314859826608,-0.2894276921292536,-0.23133729443961445,0.10306843024904708,1.3190937347071885
ENSDARG00000008966,0.7909926217010654,1.038420498635889,0.7792321059119096,4.277668185792633,-0.0501258923354941,-0.0428943224604398,0.08581204804048535,1.2901149371301868
ENSDARG00000008969,2.37336432104858,56.46716782305996,15927.423037805533,605.0523459245816,0.3932880916817775,0.4585913910858466,1.4929589913011017,3.7818647212069894
ENSDARG00000008979,0.6539625887744206,0.6579275544742458,0.17853570381984174,2.0657073312659966,-0.1226502030585013,-0.1961949910442057,0.07962136165216709,1.231811472662979
ENSDARG00000008982,1.606546737924917,9.582979241579586,489.669170728624,113.78329074264596,0.2321181869861368,0.14232641455709394,0.8238291980540122,3.0564600079192807
ENSDARG00000008983,0.1231139523286372,0.16128921143666772,0.01929924972157902,0.5279523746934004,-0.6514732704607996,-0.6361427996873501,0.04628878615847791,0.7864675702742594
ENSDARG00000008986,0.1109917192880971,0.37308976531609406,0.6543365632731991,3.82766190635771,-0.6757345889584939,-0.5789320459094293,0.15641273444967618,1.5941340965989501
ENSDARG00000009001,3.1319613324685287,3.7689405866207433,12.70134863011419,17.74158070831245,0.5094661561879434,0.4026982614066506,0.2095481885711258,2.037780960057492
ENSDARG00000009014,0.0344155702849116,0.4596036415494552,1.5490904346300298,5.4591376391144255,-0.8715504210355127,-0.6356671638968618,0.2085190918065281,1.745007426902004
ENSDARG00000009018,0.9532146511283518,9.181830580634562,970.1145201729128,144.62267911619844,0.0225168918885879,-0.10832812736352618,0.7243399845187385,3.1605365936155194
