Gene ID,Majority detection flag
ENSSSCG00000001498,present
ENSSSCG00000001499,present
ENSSSCG00000001500,present
ENSSSCG00000001501,present
ENSSSCG00000001502,present
ENSSSCG00000001503,present
ENSSSCG00000001504,absent
ENSSSCG00000001505,present
ENSSSCG00000001506,present
ENSSSCG00000001507,present
ENSSSCG00000001509,present
ENSSSCG00000001510,absent
ENSSSCG00000001511,present
ENSSSCG00000001512,present
ENSSSCG00000001513,present
ENSSSCG00000001516,present
ENSSSCG00000001517,present
ENSSSCG00000001518,present
ENSSSCG00000001520,present
ENSSSCG00000001521,absent
ENSSSCG00000001523,absent
ENSSSCG00000001527,present
ENSSSCG00000001531,present
ENSSSCG00000001532,present
ENSSSCG00000001533,present
ENSSSCG00000001534,present
ENSSSCG00000001535,present
ENSSSCG00000001536,present
ENSSSCG00000001537,present
ENSSSCG00000001538,absent
ENSSSCG00000001539,present
ENSSSCG00000001543,present
ENSSSCG00000001544,present
ENSSSCG00000001546,present
ENSSSCG00000001549,present
ENSSSCG00000001550,present
ENSSSCG00000001551,absent
ENSSSCG00000001552,absent
ENSSSCG00000001553,absent
ENSSSCG00000001554,present
ENSSSCG00000001555,absent
ENSSSCG00000001556,present
ENSSSCG00000001559,absent
ENSSSCG00000001560,absent
ENSSSCG00000001561,present
ENSSSCG00000001562,present
ENSSSCG00000001563,present
ENSSSCG00000001564,present
ENSSSCG00000001565,present
ENSSSCG00000001566,absent
ENSSSCG00000001567,absent
ENSSSCG00000001570,present
ENSSSCG00000001571,present
ENSSSCG00000001572,present
ENSSSCG00000001573,present
ENSSSCG00000001574,absent
ENSSSCG00000001576,absent
ENSSSCG00000001577,present
ENSSSCG00000001578,present
ENSSSCG00000001582,absent
ENSSSCG00000001589,absent
ENSSSCG00000001592,absent
ENSSSCG00000001594,absent
ENSSSCG00000001595,present
ENSSSCG00000001596,present
ENSSSCG00000001597,absent
ENSSSCG00000001611,present
ENSSSCG00000001612,absent
ENSSSCG00000001613,absent
ENSSSCG00000001616,absent
ENSSSCG00000001618,absent
ENSSSCG00000001619,present
ENSSSCG00000001620,absent
ENSSSCG00000001621,present
ENSSSCG00000001624,absent
ENSSSCG00000001625,absent
ENSSSCG00000001629,present
ENSSSCG00000001636,absent
ENSSSCG00000001637,absent
ENSSSCG00000001638,present
ENSSSCG00000001639,present
ENSSSCG00000001641,present
ENSSSCG00000001646,present
ENSSSCG00000001650,absent
ENSSSCG00000001651,present
ENSSSCG00000001653,present
ENSSSCG00000001654,present
ENSSSCG00000001655,present
ENSSSCG00000001656,present
ENSSSCG00000001657,present
ENSSSCG00000001658,present
ENSSSCG00000001659,present
ENSSSCG00000001660,present
ENSSSCG00000001661,present
ENSSSCG00000001664,absent
ENSSSCG00000001667,present
ENSSSCG00000001672,present
ENSSSCG00000001676,absent
ENSSSCG00000001679,present
ENSSSCG00000001680,present
ENSSSCG00000001682,absent
ENSSSCG00000001683,present
ENSSSCG00000001688,present
ENSSSCG00000001689,present
ENSSSCG00000001691,absent
ENSSSCG00000001692,present
ENSSSCG00000001695,present
ENSSSCG00000001696,present
ENSSSCG00000001697,present
ENSSSCG00000001698,absent
ENSSSCG00000001700,present
ENSSSCG00000001701,present
ENSSSCG00000001702,present
ENSSSCG00000001703,present
ENSSSCG00000001705,absent
ENSSSCG00000001706,present
ENSSSCG00000001708,present
ENSSSCG00000001709,present
ENSSSCG00000001710,present
ENSSSCG00000001715,present
ENSSSCG00000001716,present
ENSSSCG00000001718,present
ENSSSCG00000001720,present
ENSSSCG00000001723,present
ENSSSCG00000001724,absent
ENSSSCG00000001725,present
ENSSSCG00000001726,absent
ENSSSCG00000001727,present
ENSSSCG00000001729,absent
ENSSSCG00000001731,present
ENSSSCG00000001732,present
ENSSSCG00000001734,absent
ENSSSCG00000001735,absent
ENSSSCG00000001736,absent
ENSSSCG00000001738,absent
ENSSSCG00000001739,absent
ENSSSCG00000001743,absent
ENSSSCG00000001744,absent
ENSSSCG00000001746,absent
ENSSSCG00000001748,absent
ENSSSCG00000001749,absent
ENSSSCG00000001750,present
ENSSSCG00000001751,absent
ENSSSCG00000001752,present
ENSSSCG00000001755,present
ENSSSCG00000001756,present
ENSSSCG00000001757,present
ENSSSCG00000001760,present
ENSSSCG00000001762,present
ENSSSCG00000001764,absent
ENSSSCG00000001765,absent
ENSSSCG00000001769,present
ENSSSCG00000001770,present
ENSSSCG00000001771,absent
ENSSSCG00000001773,present
ENSSSCG00000001775,absent
ENSSSCG00000001776,absent
ENSSSCG00000001779,present
ENSSSCG00000001780,present
ENSSSCG00000001782,present
ENSSSCG00000001786,absent
ENSSSCG00000001787,present
ENSSSCG00000001788,present
ENSSSCG00000001789,absent
ENSSSCG00000001790,absent
ENSSSCG00000001792,present
ENSSSCG00000001793,present
ENSSSCG00000001795,present
ENSSSCG00000001798,absent
ENSSSCG00000001800,present
ENSSSCG00000001801,present
ENSSSCG00000001804,present
ENSSSCG00000001805,present
ENSSSCG00000001806,absent
ENSSSCG00000001807,absent
ENSSSCG00000001808,absent
ENSSSCG00000001810,present
ENSSSCG00000001814,present
ENSSSCG00000001816,present
ENSSSCG00000001817,present
ENSSSCG00000001818,present
ENSSSCG00000001819,present
ENSSSCG00000001820,present
ENSSSCG00000001821,present
ENSSSCG00000001822,present
ENSSSCG00000001823,absent
ENSSSCG00000001824,present
ENSSSCG00000001825,present
ENSSSCG00000001826,present
ENSSSCG00000001830,absent
ENSSSCG00000001832,absent
ENSSSCG00000001834,present
ENSSSCG00000001835,present
ENSSSCG00000001836,present
ENSSSCG00000001837,present
ENSSSCG00000001838,present
ENSSSCG00000001840,present
ENSSSCG00000001841,absent
ENSSSCG00000001844,absent
ENSSSCG00000001846,present
ENSSSCG00000001847,present
ENSSSCG00000001848,absent
ENSSSCG00000001849,present
ENSSSCG00000001850,present
ENSSSCG00000001852,present
ENSSSCG00000001858,present
ENSSSCG00000001862,present
ENSSSCG00000001863,absent
ENSSSCG00000001865,present
ENSSSCG00000001866,present
ENSSSCG00000001867,present
ENSSSCG00000001868,present
ENSSSCG00000001869,present
ENSSSCG00000001871,present
ENSSSCG00000001872,absent
ENSSSCG00000001873,absent
ENSSSCG00000001875,present
ENSSSCG00000001877,present
ENSSSCG00000001878,present
ENSSSCG00000001879,absent
ENSSSCG00000001880,present
ENSSSCG00000001881,present
ENSSSCG00000001882,present
ENSSSCG00000001884,present
ENSSSCG00000001885,present
ENSSSCG00000001887,present
ENSSSCG00000001888,absent
ENSSSCG00000001892,present
ENSSSCG00000001895,absent
ENSSSCG00000001898,present
ENSSSCG00000001899,absent
ENSSSCG00000001900,present
ENSSSCG00000001901,absent
ENSSSCG00000001903,present
ENSSSCG00000001904,present
ENSSSCG00000001905,present
ENSSSCG00000001906,present
ENSSSCG00000001907,present
ENSSSCG00000001908,absent
ENSSSCG00000001909,absent
ENSSSCG00000001910,present
ENSSSCG00000001912,present
ENSSSCG00000001913,present
ENSSSCG00000001914,absent
ENSSSCG00000001915,absent
ENSSSCG00000001916,absent
ENSSSCG00000001917,present
ENSSSCG00000001918,present
ENSSSCG00000001920,absent
ENSSSCG00000001921,present
ENSSSCG00000001924,present
ENSSSCG00000001925,present
ENSSSCG00000001926,absent
ENSSSCG00000001927,present
ENSSSCG00000001928,absent
ENSSSCG00000001930,present
ENSSSCG00000001931,absent
ENSSSCG00000001932,absent
ENSSSCG00000001934,present
ENSSSCG00000001938,absent
ENSSSCG00000001939,absent
